user_id,location,Country,State,City
134340234,"Hyderabad, Pakistan',",Pakistan,,
15018425,"Hyderabad, Telangana, India',",India,,
2149223948,"Ibadan, Nigeria',",Nigeria,,
1590160007382827008,"Independence, MO',",USA,,
1596961992211927043,"India',",India,,
834474696460558336,"India',",India,,
355989081,"India',",India,,
1011690982344032256,"India',",India,,
104583131,India'},India,,
"1119179123576827904'}""]","India🇮🇳',",India,,
1419421881896214535,"Indiana, PA'}",USA,,
3642171447,"Indiana, USA',",USA,,
119613547,"Indianapolis, IN',",USA,,
1078176518780596224,"Indianapolis, IN',",USA,,
"1315267191114088448'}""]","Indonésie',",Indonesia,,
744368337732272128,"Ingleside, San Francisco',",USA,,
1586054799954518017,"iran',",Iran,,
947956197310603264,"Isla Vista, CA',",USA,,
1591971871448334336,"Islamabad, Pakistan',",Pakistan,,
303495844,"Islamabad',",Pakistan,,
943115069558329345,"Islamic Republic of Iran',",Iran,,
1596962089955954691,"Isle of Man',",UK,,
894253900492136453,"Istanbul, Turkey',",Turkey,,
2502519117,"Istanbul, Türkiye',",Turkey,,
1157909196777676800,"İstanbul, Türkiye',",Turkey,,
887252817198624768,"İstanbul, Türkiye',",Turkey,,
1077455690522902528,"İstanbul, Türkiye',",Turkey,,
1217970494747508736,"Jacksonville fl',",Canada,,
"2357187444'}""]","Jamaica made - Toronto raised',",Canada,,
464068170,"Jamaica',",Jamaica,,
2503035837,"Jamaica',",Jamaica,,
739143990499364864,"Jamaica🇯🇲',",Jamaica,,
1582679591449030658,"Japan',",Japan,,
2320034306,"Jersey City, New YERRsey',",USA,,
300021496,"JerseyShore',",USA,,
313938146,"Jerusalem',",Israel,,
754409255374127104,"Jimeta Nigeria',",Nigeria,,
1463715376517332992,"Johannesburg, South Africa',",South Africa,,
371075039,"Jos, Nigeria',",Nigeria,,
136332919,"Jos, Nigeria',",Nigeria,,
"1483400361318793218'}""]","Jos',",Nigeria,,
1287057413753929734,Juja'},Kenya,,
1278930481606770688,"Kaduna, Nigeria',",Nigeria,,
2808105549,"Kalamata, Greece'}",Greece,,
1189837278505578496,Kampala uganda,Uganda,,
1165719800980615173,"Kampala, Uganda',",Uganda,,
1481358156156608512,"Kano, Nigeria'}",Nigeria,,
458216319,"kano',",Nigeria,,
55222766,"Kansas City,  Missouri, USA',",USA,,
151500509,"Kansas City',",USA,,
1405577837285871629,"Kansas, USA',",USA,,
1586017487077998592,"Kansas, USA',",USA,,
48033200,"Kappeln Germany',",Germany,,
1200942270704427011,"Karachi, Pakistan',",Pakistan,,
1451669321218990080,"Karachi, Pakistan',",Pakistan,,
1293956527309697026,"Karachi, Pakistan',",Pakistan,,
1384857673523412995,"Karachi, Pakistan',",Pakistan,,
4866330561,"Karachi, Pakistan'}",Pakistan,,
1462795398,"Karachi, Pakistan'}",Pakistan,,
885093337,"Karachi, Pakistan'}",Pakistan,,
