,user_id,location
455,"[""1150778271505760256',""]","Cape Town, South Africa',"
456,"[""1587956661054050305',""]","USA',"
457,"[""52012432',""]","Wiradjuri country',"
458,"[""1401660389662859271',""]","On the sofa. In Wales.',"
459,"[""807345129103249408',""]",
460,"[""26278362',""]",
461,"[""1573634867316883456',""]","16',"
462,"[""838643569690836992',""]",
463,"[""1015426782',""]","Ayr, Scotland',"
464,"[""1278930481606770688',""]","Kaduna, Nigeria',"
465,"[""2381537869',""]",
466,"[""440432097',""]",
467,"[""1340983523772133382',""]",
468,"[""1035068305126486016',""]",
469,"[""1165719800980615173',""]","Kampala, Uganda',"
470,"[""1050656095037874179',""]",
471,"[""1109431058163032065',""]",
472,"[""1387514747738857472',""]","tehran_iran',"
473,"[""1163523013159063557',""]","Around the corner',"
474,"[""15150549',""]","United States',"
475,"[""895792087010091008',""]",
476,"[""1545074598768689152',""]",
477,"[""1577972253991481344',""]","💙🤍💛',"
478,"[""1493730311741448195',""]",
479,"[""1189837278505578496',""]",Kampala uganda
480,"[""1596962089955954691',""]","Isle of Man',"
481,"[""945071712135237633',""]",
482,"[""1029940670855827456',""]","Connecticut, USA',"
483,"[""1113693029347540992',""]","Latvia',"
484,"[""1530174841978077185',""]",
485,"[""2260675556',""]","Philadelphia',"
486,"[""2769337557',""]","USA',"
487,"[""1501596693061685252',""]",
488,"[""1574891794738946048',""]",
489,"[""1586716368245751811',""]",
490,"[""828025466887905280',""]",Tongva
491,"[""717877136',""]",Eastern 🇳🇬
492,"[""175496023',""]",
493,"[""803322878590586881',""]","#508 & 🇧🇷ian',"
494,"[""1584853641164640257',""]",
495,"[""887252817198624768',""]","İstanbul, Türkiye',"
496,"[""2196775588',""]","Gahanna, Oh',"
497,"[""284435146',""]",
498,"[""1501279581311021057',""]",
499,"[""843530537042087936',""]",Nigeria
500,"[""1596961992211927043',""]","India',"
501,"[""2560732672',""]","Rochester, NY',"
502,"[""2339965219',""]","where da 💰 at',"
503,"[""1540686967263961088',""]","Bihar, India',"
504,"[""2438153034',""]","Pays de Thélème',"
505,"[""470444114',""]","Yorkshire',"
506,"[""277227672',""]",Dancing in an elevator
507,"[""1352345192150552590',""]",
508,"[""4417466061',""]","Narnia',"
509,"[""1596961899849158656',""]","British Indian Ocean Terr',"
510,"[""1506222138637930506',""]",
511,"[""50728264',""]",
512,"[""4878405639',""]",
513,"[""1391148977165381632',""]",
514,"[""808543592746807296',""]",
515,"[""1570079732548485120',""]",
516,"[""4341493755',""]",
517,"[""337355234',""]","Ottawa, Ontario',"
518,"[""2223241693',""]","Украина',"
519,"[""1337543383800229892',""]","Budapest, Hongrie',"
520,"[""1080202560022171651',""]","Desterro, SC',"
521,"[""597705626',""]","South Dublin, Ireland',"
522,"[""1404618516117045252',""]","she/her 90liner',"
523,"[""1212792990172794880',""]",
524,"[""1576998617402920960',""]",
525,"[""910609604517810176',""]",
526,"[""1716610758',""]","Bengaluru, India',"
527,"[""91939847',""]",
528,"[""173123888',""]","Clinton, IL',"
529,"[""20710575',""]",
530,"[""947956197310603264',""]","Isla Vista, CA',"
531,"[""67687099',""]",Moneyland - Oliver Bullough
532,"[""1579940361467731970',""]",
533,"[""1457709461561352195',""]",
534,"[""1020078110660878337',""]","Spotsylvania Courthouse, VA',"
535,"[""1345489573657407490',""]",
536,"[""1484089031625482240',""]","Eldoret, Kenya',"
537,"[""802580860453134336',""]",
538,"[""1553883068615868416',""]",
539,"[""1249613906718253056',""]",
540,"[""1580688194340896768',""]",
541,"[""1596961726100115456',""]","Maldives',"
542,"[""250781787',""]","Umhlanga, South Africa',"
543,"[""717111042539712512',""]",
544,"[""4013970386',""]","Sacramento, Ca',"
545,"[""1580298716786958358',""]",
546,"[""897149454817603586',""]",Coalville
