author_id,edit_history_tweet_ids,lang,created_at,text,id,geo
450409352,['1595170053049044992'],en,2022-11-22T21:39:12.000Z,"Ill put this here as my American and Canadian counterparts particularly in California and Vancouver have long experience dealing with this at City and State level

If you can assist, please reach out to @juliefairey - much appreciated team https://t.co/ggK5eMKrD5",1595170053049044992,
450409352,['1595169365330055168'],en,2022-11-22T21:36:28.000Z,RT @geonet: Live in Rotorua and Taupō districts? Our researchers need your help. Access the survey here https://t.co/fjDNEMeMOZ and please…,1595169365330055168,
450409352,['1595168374614503425'],en,2022-11-22T21:32:31.000Z,"@adaptreuse Ooooooo NASTY

And I like it",1595168374614503425,
450409352,['1595168056207998977'],en,2022-11-22T21:31:16.000Z,Then watch all the Tier 1 lenders follow the hike and anyone trying to build a house go NOPE and release the land or build back onto the market https://t.co/23HwGYFxHO,1595168056207998977,
450409352,['1595165681837690880'],en,2022-11-22T21:21:49.000Z,Missing a Zero in that sum but Council officers doing the mahi there https://t.co/XwBWcYTAbe,1595165681837690880,
450409352,['1595158972172210177'],tl,2022-11-22T20:55:10.000Z,@danxduran @biggsintweets BUHAHAHAHAHA https://t.co/J6e4FUkb8a,1595158972172210177,
450409352,['1595158793112862721'],en,2022-11-22T20:54:27.000Z,"@biggsintweets @danxduran And everyone with half a brain cell is paying attention

RIP",1595158793112862721,
450409352,['1595158725320286210'],en,2022-11-22T20:54:11.000Z,"Seems Cities Skylines made it into the discourse today

As a veteran player, former streamer and even interviewed by Paradox themselves here is 4 snap shots of my current city: Neo South Auckland https://t.co/ETxcSIv4fk",1595158725320286210,
450409352,['1595158500724080641'],en,2022-11-22T20:53:17.000Z,"Fucks sake team

This is the entire analogy and profession of Spatial Planners like myself

To do the below to influence population behaviour via spatial form and vice versa

Now let me get my colouring pencils out

Or

Just load Cities Skylines! https://t.co/uYkc8SWqKj",1595158500724080641,
450409352,['1595158295995551744'],en,2022-11-22T20:52:29.000Z,@biggsintweets @danxduran Dont worry just schooled him over in LinkedIn,1595158295995551744,
450409352,['1595158191779631104'],en,2022-11-22T20:52:04.000Z,"@danxduran In fact the entire Spatial Planning Profession for which I am one of about 100 in NZ is based on the entire Cities Skylines analogy 

Why?
Influencing behaviour via Spatial Form and vice versa",1595158191779631104,
