text,created_at,author_id,edit_history_tweet_ids,id,lang,withheld
RT @bankierrr: Yall actually the last 2 mfs that need to be friends fr,2022-11-21T02:28:17.000Z,1150585235538509824,['1594518030016339969'],1594518030016339969,en,
RT @Dreamofju: I haven’t had NO SEX ! https://t.co/P1da4ArXqQ,2022-11-21T02:28:11.000Z,1150585235538509824,['1594518002531082240'],1594518002531082240,en,
RT @CydneyBeauty: This is the most unbothered I’ve been in my life. Idc about nobody.,2022-11-21T02:27:42.000Z,1150585235538509824,['1594517882645336064'],1594517882645336064,en,
RT @whateveroxy: people who constantly complain are draining asf,2022-11-21T02:26:28.000Z,1150585235538509824,['1594517570521923584'],1594517570521923584,en,
I love this artist sm https://t.co/xgPG6kneVu,2022-11-21T02:23:04.000Z,1150585235538509824,['1594516717312434176'],1594516717312434176,en,
"RT @tenomnft: herbs for calming the nervous system:

ashwagandha
lemon balm
passion flower 
valerian root 
chamomile 
lavender 

herbs for…",2022-11-21T02:22:42.000Z,1150585235538509824,['1594516624211464193'],1594516624211464193,en,
RT @wishleeluck: Soulmate friends are real. The love for them you really feel flowing through your body,2022-11-21T02:21:48.000Z,1150585235538509824,['1594516399522603008'],1594516399522603008,en,
RT @Moderns88: I love when filmmakers are influenced by painters,2022-11-21T02:21:00.000Z,1150585235538509824,['1594516195188670464'],1594516195188670464,en,
RT @icysilk: Gasped when i saw this dress https://t.co/CFLfhXEMKD,2022-11-21T02:20:54.000Z,1150585235538509824,['1594516169897058304'],1594516169897058304,en,
And if the shoe fitttsss… https://t.co/yKDdsvVSfF,2022-11-21T02:20:43.000Z,1150585235538509824,['1594516123059310592'],1594516123059310592,en,
RT @sammynk_: bacc in my day.. having a North Face was like having a moncler 😂😂,2022-11-21T02:19:15.000Z,1150585235538509824,['1594515757018120192'],1594515757018120192,en,
RT @47jessyka: catch me while i care fr,2022-11-21T02:19:12.000Z,1150585235538509824,['1594515741868404736'],1594515741868404736,en,
RT @lowkeyalbert: are love letters still a thing? i want one,2022-11-21T01:00:48.000Z,1150585235538509824,['1594496011812360193'],1594496011812360193,en,
"RT @aayoitsjoyy: Be patient, somebody will give you the world without you asking.",2022-11-21T01:00:39.000Z,1150585235538509824,['1594495974646243329'],1594495974646243329,en,
RT @ninagrewal97: dating someone who doesn’t have healthy self-esteem is ok if they’re self-aware and try to reduce the impact of it on oth…,2022-11-21T01:00:22.000Z,1150585235538509824,['1594495904957882369'],1594495904957882369,en,
@poetastrologers 😬😬 stop bc I was like EXACTLY ! 😂,2022-11-21T00:59:05.000Z,1150585235538509824,['1594495583242182656'],1594495583242182656,en,
