id,geo,edit_history_tweet_ids,created_at,author_id,lang,text
1592940918545346560,"{'place_id': '38d5974e82ed1a6c', 'coordinates': {'type': 'Point', 'coordinates': [-75.6466372, 45.4125374]}}",['1592940918545346560'],2022-11-16T18:01:25.000Z,140647400,en,"If you're looking for work in #Ottawa, ON, check out this #Retail job via the link in our bio: shift supervisor - Store# 04957, INDUSTRIAL &amp; TRAIN YARDS at Starbucks"
1592695257430253568,"{'place_id': '53504716d445dcad', 'coordinates': {'type': 'Point', 'coordinates': [-114.2484819, 51.1249032]}}",['1592695257430253568'],2022-11-16T01:45:14.000Z,140647400,en,"If you're looking for work in #Calgary, AB, check out this #Retail job via the link in our bio: shift supervisor - Store# 04549, TUSCANY DRIVE MARKET at Starbucks"
1592678531703615488,"{'place_id': '38d5974e82ed1a6c', 'coordinates': {'type': 'Point', 'coordinates': [-75.930494, 45.3424478]}}",['1592678531703615488'],2022-11-16T00:38:47.000Z,140647400,en,"Join the Starbucks team! See our latest #Retail job openings, including ""shift supervisor - Store# 53909, 5055 INNOVATION DRIVE"", via the link in our bio. #Ottawa, ON"
1592661811395895296,"{'place_id': '56316c24480c1a3a', 'coordinates': {'type': 'Point', 'coordinates': [-113.6248632, 53.6458608]}}",['1592661811395895296'],2022-11-15T23:32:20.000Z,140647400,en,"Have you ever had a role like ""barista - Store# 04995, BELLEROSE DRIVE""? What did you like most about that job? #Retail #StAlbert, AB"
1592645091687964672,"{'place_id': '07acc59e29b2aedb', 'coordinates': {'type': 'Point', 'coordinates': [-82.3598952, 42.9793849]}}",['1592645091687964672'],2022-11-15T22:25:54.000Z,140647400,en,"Have you ever had a role like ""barista - Store# 04772, LONDON &amp; AFTON - SARNIA""? What did you like most about that job? #Retail #Sarnia, ON"
1592594912519692288,"{'place_id': '38d5974e82ed1a6c', 'coordinates': {'type': 'Point', 'coordinates': [-75.9166703, 45.3085384]}}",['1592594912519692288'],2022-11-15T19:06:30.000Z,140647400,en,"Click the link in our bio to see currently open #Retail jobs like ""barista - Store# 04575, CANADIAN TIRE"" at Starbucks in #Ottawa, ON."
1592578189695385600,"{'place_id': '53504716d445dcad', 'coordinates': {'type': 'Point', 'coordinates': [-113.9715096, 50.9307475]}}",['1592578189695385600'],2022-11-15T18:00:03.000Z,140647400,en,"See our latest #Calgary, AB job and click to apply: Customer Service Coordinator, South Trail - https://t.co/9oci3eTLVh #Retail"
1592332582661652480,"{'place_id': '53504716d445dcad', 'coordinates': {'type': 'Point', 'coordinates': [-114.0575053, 50.9044886]}}",['1592332582661652480'],2022-11-15T01:44:06.000Z,140647400,en,"Click the link in our bio to see currently open #Retail jobs like ""barista - Store# 04876, SUNDANCE"" at Starbucks in #Calgary, AB."
1592315847736860672,"{'place_id': '6a6d896ba1cb5dc4', 'coordinates': {'type': 'Point', 'coordinates': [-113.5139942, 53.4237197]}}",['1592315847736860672'],2022-11-15T00:37:36.000Z,140647400,en,"Stop staring at the clock every day. It's time for a new career. Follow us to view jobs with titles like ""barista - Store# 04931, SOUTHBROOK - 111TH &amp; ELLERSLIE"" in #Edmonton, AB. #Retail"
1592299126179319809,"{'place_id': '1795f2e3639cab31', 'coordinates': {'type': 'Point', 'coordinates': [-81.2827065, 42.933472]}}",['1592299126179319809'],2022-11-14T23:31:09.000Z,140647400,en,"Interested in a job in #London, ON? This could be a great fit. Click the link in our bio to apply: Seasonal PT - Cashier, Stock and Sales Associates at Bed Bath &amp; Beyond #Retail"
1592282396476383232,"{'place_id': '15b0a643e7bd22c7', 'coordinates': {'type': 'Point', 'coordinates': [-82.9642698, 42.2586778]}}",['1592282396476383232'],2022-11-14T22:24:41.000Z,140647400,en,"Don't submit then quit. Apply for jobs like ""Part Time Store Associate, Marshalls"" at The TJX Companies, then look for people you might know at the company. You might be able to reach out to HR directly. Ready to apply? Check out the link in our bio. #Retail #Windsor, ON"
1592265670971957248,"{'place_id': '0bdcca7f6f1a86c6', 'coordinates': {'type': 'Point', 'coordinates': [-110.6473159, 50.0043245]}}",['1592265670971957248'],2022-11-14T21:18:13.000Z,140647400,en,"Can you recommend anyone for this job? Seasonal Sales Associate, Medicine Hat Mall, HomeSense - https://t.co/7GDEB3rOwE #Retail #MedicineHat, AB"
1592248945312268290,"{'place_id': '38d5974e82ed1a6c', 'coordinates': {'type': 'Point', 'coordinates': [-75.6882638, 45.4032723]}}",['1592248945312268290'],2022-11-14T20:11:45.000Z,140647400,en,"Interested in a job in #Ottawa, ON? This could be a great fit. Click the link in our bio to apply: barista - Store# 04283, DELIVERY ONLY- BANK &amp; THIRD at Starbucks #Retail"
1592232223868010496,"{'place_id': '03838537545e2fe7', 'coordinates': {'type': 'Point', 'coordinates': [-112.85978, 53.0198843]}}",['1592232223868010496'],2022-11-14T19:05:19.000Z,140647400,en,"If jobs with titles like ""barista - Store# 04197, CAMROSE HWY 13 &amp; 68"" sound appealing to you, follow us to hear about these types of opportunities in #Camrose, AB. #Retail"
1591970159438094337,"{'place_id': '6a6d896ba1cb5dc4', 'coordinates': {'type': 'Point', 'coordinates': [-113.4243143, 53.5408714]}}",['1591970159438094337'],2022-11-14T01:43:58.000Z,140647400,en,"We're hiring in #Edmonton, AB! Click the link in our bio to apply to this job and more: barista - Store# 16810, TERRACE RD &amp; 101 AVE at Starbucks #Retail"
1591953432713101312,"{'place_id': '73f3a7dd4067c1c2', 'coordinates': {'type': 'Point', 'coordinates': [-75.31181, 45.270325]}}",['1591953432713101312'],2022-11-14T00:37:30.000Z,140647400,en,"This #Retail job might be a great fit for you. Click the link in our bio to see it and more. barista - Store# 63488, 1044 ST GUILLAUME ROAD at Starbucks #Embrun, ON"
1591936712602636288,"{'place_id': '436d8520fb94e043', 'coordinates': {'type': 'Point', 'coordinates': [-74.7456328, 45.0256896]}}",['1591936712602636288'],2022-11-13T23:31:03.000Z,140647400,en,"Join the The TJX Companies team! See our latest job opening here: https://t.co/zeDEOB2nxN #Retail #Cornwall, ON"
1591919995037941760,"{'place_id': '6a6d896ba1cb5dc4', 'coordinates': {'type': 'Point', 'coordinates': [-113.5675327, 53.4537193]}}",['1591919995037941760'],2022-11-13T22:24:37.000Z,140647400,en,"Starbucks is looking for teammates like you. See our latest #Retail job openings, including ""shift supervisor - Store# 04479, TERWILLIGER GARDENS"", via the link in our bio. #Edmonton, AB"
1591886541915246592,"{'place_id': '6a6d896ba1cb5dc4', 'coordinates': {'type': 'Point', 'coordinates': [-113.6105887, 53.542338]}}",['1591886541915246592'],2022-11-13T20:11:42.000Z,140647400,en,"Interested in a job in #Edmonton, AB? This could be a great fit: https://t.co/GtcBDXbNgA #Retail"
1591869816930852864,"{'place_id': '6a6d896ba1cb5dc4', 'coordinates': {'type': 'Point', 'coordinates': [-113.55941, 53.599879]}}",['1591869816930852864'],2022-11-13T19:05:14.000Z,140647400,en,"If you're looking for work in #Edmonton, AB, check out this #Retail job via the link in our bio: barista - Store# 04450, SKYVIEW POWER CENTER at Starbucks"
1591853092361732096,"{'place_id': '721eff9856a56962', 'coordinates': {'type': 'Point', 'coordinates': [-80.2193869, 44.5029827]}}",['1591853092361732096'],2022-11-13T17:58:47.000Z,140647400,en,"Starbucks is hiring in #Collingwood, ON! Click the link in our bio to apply: barista - Store# 04488, COLLINGWOOD #Retail"
1591607519750680576,"{'place_id': '13af9436de1c10cd', 'coordinates': {'type': 'Point', 'coordinates': [-113.3249481, 53.8277399]}}",['1591607519750680576'],2022-11-13T01:42:58.000Z,140647400,en,"Want to work at Circle K? We're hiring in #Gibbons, AB! Click the link in our bio for details on this job and more: CSR- Subway Sandwich Artist #Retail"
1591590788336525312,"{'place_id': '15b0a643e7bd22c7', 'coordinates': {'type': 'Point', 'coordinates': [-83.0206121, 42.2988346]}}",['1591590788336525312'],2022-11-13T00:36:28.000Z,140647400,en,"Starbucks is hiring in #Windsor, ON! Click the link in our bio to apply: barista - Store# 67497, 300 TECUMSEH ROAD EAST #Retail"
1591574062874042369,"{'place_id': '11ec8106d4d1a9a4', 'coordinates': {'type': 'Point', 'coordinates': [-79.6945623, 44.332751]}}",['1591574062874042369'],2022-11-12T23:30:01.000Z,140647400,en,"Interested in a job in #Barrie, ON? This could be a great fit. Click the link in our bio to apply: shift supervisor - Store# 50490, MAPLEVIEW WEST – BARRIE at Starbucks #Retail"
1591557336534958080,"{'place_id': '53504716d445dcad', 'coordinates': {'type': 'Point', 'coordinates': [-114.2069377, 51.084228]}}",['1591557336534958080'],2022-11-12T22:23:33.000Z,140647400,en,"If jobs with titles like ""shift supervisor - Store# 20883, BOWFORT ROAD"" sound appealing to you, follow us to hear about these types of opportunities in #Calgary, AB. #Retail"
1591540614243373056,"{'place_id': '7d328f290343463a', 'coordinates': {'type': 'Point', 'coordinates': [-81.6190302, 42.9535921]}}",['1591540614243373056'],2022-11-12T21:17:06.000Z,140647400,en,"Starbucks is hiring in #Strathroy, ON! Click the link in our bio to apply: barista - Store# 59371, 105 CARADOC STREET SOUTH #Retail"
1591507170608041985,"{'place_id': '53504716d445dcad', 'coordinates': {'type': 'Point', 'coordinates': [-114.1595793, 51.1384031]}}",['1591507170608041985'],2022-11-12T19:04:12.000Z,140647400,en,"We're hiring in #Calgary, AB! Click the link in our bio to apply to this job and more: shift supervisor - Store# 04383, COUNTRY HILLS at Starbucks #Retail"
