id,created_at,text,geo,lang,author_id,edit_history_tweet_ids
1595136461824835585,2022-11-22T19:25:43.000Z,Accident in #SWOKC on S MacArthur Blvd at Southwest 5th Street #OKCtraffic https://t.co/5PW2Tg7Vzy,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.61896, 35.45882]}}",en,249851984,['1595136461824835585']
1595133945909166080,2022-11-22T19:15:43.000Z,Injury accident in #OklahomaCity on Northwest 56th Street at North Portland Avenue #OKCtraffic https://t.co/5PW2TfQkaY,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.58337, 35.52825]}}",en,249851984,['1595133945909166080']
1595127663202476033,2022-11-22T18:50:45.000Z,Accident in #SWOKC on Meridian Ave at Southwest 19th Street #OKCtraffic https://t.co/5PW2TfQkaY,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.60104, 35.44496]}}",en,249851984,['1595127663202476033']
1595127657695301632,2022-11-22T18:50:44.000Z,Accident in #NWOKC on NW Expressway EB at Northwest Passage #OKCtraffic https://t.co/5PW2TfQkaY,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.64963, 35.56281]}}",en,249851984,['1595127657695301632']
1595117593416929283,2022-11-22T18:10:44.000Z,Accident in #CanadianCounty on Czech Hall Rd at I-40 #OKCtraffic https://t.co/5PW2Tg7Vzy,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.74252, 35.47689]}}",en,249851984,['1595117593416929283']
1595117590674014210,2022-11-22T18:10:44.000Z,Accident in #OklahomaCity on Reno Ave EB at Alliance Boulevard #OKCtraffic https://t.co/5PW2Tg8tp6,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.66364, 35.46401]}}",en,249851984,['1595117590674014210']
1595107521575936001,2022-11-22T17:30:43.000Z,Accident in #SWOKC on Southwest 3rd Street at South MacArthur Boulevard #OKCtraffic https://t.co/5PW2Tg7Vzy,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.61897, 35.46222]}}",en,249851984,['1595107521575936001']
1595099981400399872,2022-11-22T17:00:45.000Z,Accident in #SWOKC on Southwest 3rd Street at South MacArthur Boulevard #OKCtraffic https://t.co/5PW2Tg8tp6,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.61897, 35.46222]}}",en,249851984,['1595099981400399872']
1595099979647156224,2022-11-22T17:00:45.000Z,Accident in #SWOKC on Western Ave at I 240/SW 74th St #OKCtraffic https://t.co/5PW2Tg8tp6,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.53009, 35.39104]}}",en,249851984,['1595099979647156224']
1595099977713422336,2022-11-22T17:00:44.000Z,Accident in #OklahomaCity on Reno Ave EB at Alliance Boulevard #OKCtraffic https://t.co/5PW2Tg7Vzy,"{'place_id': '9531d4e3bbafc09d', 'coordinates': {'type': 'Point', 'coordinates': [-97.66364, 35.46401]}}",en,249851984,['1595099977713422336']
