geo,edit_history_tweet_ids,author_id,lang,text,id,created_at
,['1586414721724555265'],1548793364128178178,en,@SouthwestAir Week in advance,1586414721724555265,2022-10-29T17:48:38.000Z
{'place_id': 'de599025180e2ee7'},['1586312764821098497'],1548793364128178178,en,@teslabros I'd drive a Nissan Leaf SV plus. Cannot beat the value.,1586312764821098497,2022-10-29T11:03:30.000Z
{'place_id': 'a121bc3ed630a35e'},['1584876306319437824'],1548793364128178178,en,Electric @tesla sunrise this morning. Let's make it a good one. https://t.co/2MAoQnv5Zr,1584876306319437824,2022-10-25T11:55:31.000Z
{'place_id': '3a32d101fe825fd9'},['1584502264039116800'],1548793364128178178,en,@kidsgastrodoc So true.  Good old fruits and veggies and one is set.,1584502264039116800,2022-10-24T11:09:13.000Z
,['1584358482488463360'],1548793364128178178,en,@SawyerMerritt @Tesla hope to see these happen in the US.,1584358482488463360,2022-10-24T01:37:52.000Z
,['1584356381351497729'],1548793364128178178,en,"@WholeMarsBlog @elonmusk I know right.  I purchased another EV because Tesla as was too high right now.  

Love my Model Y Performance however if we want a full fleet in all garages the prices gotta drop....",1584356381351497729,2022-10-24T01:29:31.000Z
{'place_id': 'edacd050f402302c'},['1584147052669255682'],1548793364128178178,en,@teslabros Pretty sweet!,1584147052669255682,2022-10-23T11:37:44.000Z
,['1583990439044354049'],1548793364128178178,en,I just registered for 2023 Flying Pig Marathon Weekend using Race Roster. Join me https://t.co/suQz7lWlbi via @RaceRoster,1583990439044354049,2022-10-23T01:15:24.000Z
{'place_id': 'edacd050f402302c'},['1583983665536593920'],1548793364128178178,en,@getrenzo @BeardedTesla @Gjeebs @SawyerMerritt Congrats!  let us know what it's like without them. Interested how navigating tight spaces or garages works.,1583983665536593920,2022-10-23T00:48:29.000Z
{'place_id': 'edacd050f402302c'},['1583928925939302400'],1548793364128178178,en,"FSD beta coffee run in normal suburban.  Video dropping at 9am Sunday on YT. 
 https://t.co/DbKzikR4EO https://t.co/EuHdE1jvHQ",1583928925939302400,2022-10-22T21:10:58.000Z
{'place_id': 'edacd050f402302c'},['1583632105896316930'],1548793364128178178,en,"Are your @tesla windows dropping and ruining your quite EV?  🤔 

See how I fixed without service.

https://t.co/qrjX4dQF9h",1583632105896316930,2022-10-22T01:31:31.000Z
{'place_id': 'edacd050f402302c'},['1583620871276883968'],1548793364128178178,en,"@Elizabeth__Amy @Tesla It is mine. 8 months old, 18,500 miles and 100% smiles.",1583620871276883968,2022-10-22T00:46:52.000Z
,['1583610814086324225'],1548793364128178178,en,"@spotted_model Lol I know right. I put a smoke detector iny garage before I knew better. Now it's just there for the last remaining ICE minivan. Ps. Our neighbors 2019 Infiniti QX 80 caught fire, in the driveway, burned the garage,  and house was out of commission 1 year....  😒",1583610814086324225,2022-10-22T00:06:54.000Z
{'place_id': 'edacd050f402302c'},['1583609220070404098'],1548793364128178178,en,@itskyleconner That's a sweet ride. I agree it's the last of the well made lexus cars.,1583609220070404098,2022-10-22T00:00:34.000Z
,['1583263002035294209'],1548793364128178178,en,"@jenzfc I know  - got the same message.  Fuel prices - nope, war in ukraine - nope, covid - nope....  Just plain jacking prices up because they can and everything else is up so why the heck not YT?",1583263002035294209,2022-10-21T01:04:49.000Z
,['1583262155050086400'],1548793364128178178,en,@jenzfc so far out - I'll have over 150k miles on my @Tesla before these make it to the general market.  Looks slick/way to expensive. 104k,1583262155050086400,2022-10-21T01:01:28.000Z
{'place_id': 'edacd050f402302c'},['1583257272008200192'],1548793364128178178,en,"@ItsKimJava Great video, very informative. Ceramic Tint on a tesla is a must!  Cut battery usage by 10% in my experience.  Did the windshield and wow!",1583257272008200192,2022-10-21T00:42:03.000Z
{'place_id': '3a32d101fe825fd9'},['1582781641096720384'],1548793364128178178,en,"@EpochTimes I own a sv plus leaf and it's range at 100% is 224 miles (usually longer).  This is just stupid click bait.  Even when cold 224 is very realistic. 

Also Wyoming is rather different than where most of the US live. Very sparsly populated vs everywhere else.",1582781641096720384,2022-10-19T17:12:04.000Z
,['1582539700426125312'],1548793364128178178,en,"@SawyerMerritt I like the design, inside and out.  Price is nuts....  Completely asinine 

Transition GM to full electric only for the .001%",1582539700426125312,2022-10-19T01:10:41.000Z
,['1582539137361793024'],1548793364128178178,en,"@luckygoooon @trav_is_jackson @j_grieshaber @klwtts @BeardedTesla @MissJilianne @DirtyTesLa @TheBlakeCheck @MITeslaGuy @EvasTeslaSPlaid @TeslaDiva99 or just by a used MY or M3.  Tesla is including FSD in the purchase price.  Got FSD, 88 days later received beta.  Had to drive like an old lady, but now on beta and loving it.  Also can drive like normal now.  ;)",1582539137361793024,2022-10-19T01:08:27.000Z
