text,author_id,lang,created_at,id,edit_history_tweet_ids
RT @aintscarylarry: Kyle Rittenhouse is a hero to republicans because he literally got away with murdering people who they don’t like with…,1209216199,en,2022-11-22T19:14:27.000Z,1595133626018332672,['1595133626018332672']
"RT @JoyceWhiteVance: Of course, Bill Barr also baldly lied &amp; told us the Mueller Report cleared Trump (which it didn't)",1209216199,en,2022-11-22T19:13:41.000Z,1595133433315233792,['1595133433315233792']
"RT @jbrown11871: Hunter Biden's laptop was supposedly dropped at a repair store in 2019, 3 years ago. Rudy Giuliani and others have copies…",1209216199,en,2022-11-22T19:13:23.000Z,1595133357876465664,['1595133357876465664']
RT @PalmerReport: Lindsey Graham reportedly testified to the Fulton County grand jury today for two hours. No word on if he cooperated or p…,1209216199,en,2022-11-22T19:11:59.000Z,1595133004401475584,['1595133004401475584']
RT @jonnyglenk: @ThatEricAlper https://t.co/FQ9IANQSa6,1209216199,qme,2022-11-22T19:10:56.000Z,1595132741678694401,['1595132741678694401']
@ThatEricAlper Dolly...an American treasure!,1209216199,en,2022-11-22T19:09:57.000Z,1595132494004641794,['1595132494004641794']
RT @MichaelArt123: The Justice Dept issued a court filing today that Special Council Jack Smith is fully briefed on the Mar-a-Lago document…,1209216199,en,2022-11-22T19:09:08.000Z,1595132289758875649,['1595132289758875649']
@RpsAgainstTrump Rube,1209216199,en,2022-11-22T18:48:28.000Z,1595127086544748545,['1595127086544748545']
RT @kylegriffin1: President Obama will return to Atlanta on Dec. 1 to campaign with Sen. Raphael Warnock.,1209216199,en,2022-11-22T17:54:50.000Z,1595113592931897345,['1595113592931897345']
RT @realTuckFrumper: 'A ton of damning evidence': Attorney slams DOJ for leaving Matt Gaetz alone in sex abuse case https://t.co/csVf1LPabs,1209216199,en,2022-11-22T17:54:24.000Z,1595113482730745858,['1595113482730745858']
"RT @MichaelArt123: Joe &amp; Jill Biden to travel to North Carolina for ""friendsgiving"" celebration with military members, their families and f…",1209216199,en,2022-11-22T17:53:48.000Z,1595113330955669504,['1595113330955669504']
