text,lang,id,author_id,geo,edit_history_tweet_ids,created_at
@hpcadvisors Sat there three years ago in awe.,en,1594396495977271296,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1594396495977271296'],2022-11-20T18:25:21.000Z
@67shaggy Secondary is soft again for the second straight week. Too easy.,en,1594396304221736961,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1594396304221736961'],2022-11-20T18:24:36.000Z
@Jeff_McLane Afraid this game is going to get out of control early.,en,1594395508054925313,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1594395508054925313'],2022-11-20T18:21:26.000Z
@MeatChurch Was going to wet brine until I watched this. Thanks again Matt for another great recipe!,en,1594385711322513411,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1594385711322513411'],2022-11-20T17:42:30.000Z
@24tog Ready but don’t have a good feeling.,en,1594382134361440268,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1594382134361440268'],2022-11-20T17:28:17.000Z
@DauntlessDanny @hpcadvisors Just a couple choices 😆,en,1594381984205524992,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1594381984205524992'],2022-11-20T17:27:41.000Z
@hpcadvisors Wild Eggs for breakfast? Great restaurant.,en,1594353490603790339,1206959168629985286,{'place_id': '986002c5e93394aa'},['1594353490603790339'],2022-11-20T15:34:28.000Z
#NewProfilePic https://t.co/PSxrVELE1L,qme,1594025870556995584,1206959168629985286,,['1594025870556995584'],2022-11-19T17:52:37.000Z
"@hpcadvisors @MichtersWhiskey Check out those copper stills from the original location in Schaefferstown, Pa.",en,1593799588141334528,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1593799588141334528'],2022-11-19T02:53:27.000Z
@weatherchannel @TWCChrisBruin Insanity,en,1593736367057829889,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1593736367057829889'],2022-11-18T22:42:14.000Z
@daisyrothschild @CharlesPeekWX @weatherchannel @JimCantore I’m in Central Pa and would love a Nor’easter this winter.,en,1593704439273213952,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1593704439273213952'],2022-11-18T20:35:22.000Z
@DopplerDan Very apPEELing.,en,1593401833527119873,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1593401833527119873'],2022-11-18T00:32:55.000Z
@TyJohnsonNews @thomasrp93 Agreed.,en,1593283012610953217,1206959168629985286,,['1593283012610953217'],2022-11-17T16:40:46.000Z
@thomasrp93 @TyJohnsonNews Working on? Is he serious? How about fundamental tackling?,en,1593282209095499777,1206959168629985286,{'place_id': 'dd9c503d6c35364b'},['1593282209095499777'],2022-11-17T16:37:35.000Z
@JimCantore Looks like a great time for you! I’m jealous.,en,1593060184623960064,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1593060184623960064'],2022-11-17T01:55:20.000Z
@JacquiJerasTV Epic!,en,1593059834492248064,1206959168629985286,{'place_id': '87dbd9e813c90094'},['1593059834492248064'],2022-11-17T01:53:56.000Z
