lang,geo,text,edit_history_tweet_ids,created_at,author_id,id
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.03321, 40.610165]}, 'place_id': '011add077f4d2da3'}",Cleared: Incident on #VerrazanonarrowsBridge EB at Brooklyn Side,['1597058949878251520'],2022-11-28T02:45:00.000Z,50706690,1597058949878251520
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.354467, 41.424977]}, 'place_id': '007f7e0455964ae8'}",Cleared: Incident on #I84 EB at 0.20 miles beyond Exit 9 (RTE 25),['1597058670843641860'],2022-11-28T02:43:53.000Z,50706690,1597058670843641860
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.959198, 41.100862]}, 'place_id': '2ba9f9cb486697e1'}",Cleared: Incident on #I87NYSThruway SB at After Exit 12 (I-87) - West Nyack (Rte 303),['1597058669933273088'],2022-11-28T02:43:53.000Z,50706690,1597058669933273088
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.045312, 40.606308]}, 'place_id': '94965b2c45386f87'}",Cleared: Incident on #VerrazanonarrowsBridge EB at Center Span,['1597058420162854912'],2022-11-28T02:42:53.000Z,50706690,1597058420162854912
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.981233, 40.577422]}, 'place_id': '011add077f4d2da3'}",Incident on #FLine from Coney Island - Stillwell Av to Jamaica - 179 St https://t.co/LXtyuPTc7Q,['1597057422799130627'],2022-11-28T02:38:56.000Z,50706690,1597057422799130627
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.947101, 40.850512]}, 'place_id': '01a9a39529b27f36'}",Cleared: Incident on #GeorgeWashingtonBridge EB at New York Side,['1597057421541011458'],2022-11-28T02:38:55.000Z,50706690,1597057421541011458
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.627052, 41.424835]}, 'place_id': '01fa9e345ab4cde5'}",Cleared: Incident on #I84 WB at Exit 65 - State Hwy 312 - Carmel,['1597057420668403712'],2022-11-28T02:38:55.000Z,50706690,1597057420668403712
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.984282, 41.101349]}, 'place_id': '2ba9f9cb486697e1'}",Incident on #I87NYSThruway SB at Before Exit 13 (I-87) - Palisades Interstate Parkway https://t.co/BfeuqYiDM7,['1597056899429830656'],2022-11-28T02:36:51.000Z,50706690,1597056899429830656
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.5494, 40.754299]}, 'place_id': 'b779d1482c4d6076'}",Cleared: Incident on #WantaghStateParkway SB from Exit W2E - Old Country Road to Exit W3W - Hempstead Turnpike,['1597055950573240322'],2022-11-28T02:33:05.000Z,50706690,1597055950573240322
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.576896, 40.7229]}, 'place_id': '18b390731066adcb'}",Cleared: Incident on #NY24 WB at Merrick Avenue,['1597055504203022343'],2022-11-28T02:31:18.000Z,50706690,1597055504203022343
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.045312, 40.606308]}, 'place_id': '94965b2c45386f87'}",Incident on #VerrazanonarrowsBridge EB at Center Span https://t.co/TmQHCVnPKQ,['1597055180507430912'],2022-11-28T02:30:01.000Z,50706690,1597055180507430912
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.03321, 40.610165]}, 'place_id': '011add077f4d2da3'}",Incident on #VerrazanonarrowsBridge EB at Brooklyn Side https://t.co/ec65F4egfB,['1597055179576131584'],2022-11-28T02:30:01.000Z,50706690,1597055179576131584
en,"{'coordinates': {'type': 'Point', 'coordinates': [-78.87889, 42.880086]}, 'place_id': 'a307591cd0413588'}",Incident on #I190NiagaraThruway SB at Before Exit N7 (I-190) - Church St - Skyway (Rte 5) https://t.co/xgClGLnjiE,['1597054932246470661'],2022-11-28T02:29:02.000Z,50706690,1597054932246470661
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.947101, 40.850512]}, 'place_id': '01a9a39529b27f36'}",Incident on #GeorgeWashingtonBridge EB at New York Side https://t.co/nXJjcjd2f3,['1597053618074419200'],2022-11-28T02:23:49.000Z,50706690,1597053618074419200
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.045744, 40.60617]}, 'place_id': '94965b2c45386f87'}",Cleared: Incident on #VerrazanonarrowsBridge EB at Center Span,['1597053393134145536'],2022-11-28T02:22:55.000Z,50706690,1597053393134145536
en,"{'coordinates': {'type': 'Point', 'coordinates': [-78.87889, 42.880086]}, 'place_id': 'a307591cd0413588'}",Cleared: Incident on #I190NiagaraThruway SB at Before Exit N7 (I-190) - Church St - Skyway (Rte 5),['1597053392064745472'],2022-11-28T02:22:55.000Z,50706690,1597053392064745472
