created_at,lang,edit_history_tweet_ids,id,text,author_id,geo
2022-11-27T21:22:37.000Z,en,['1596977819912806400'],1596977819912806400,@clairy07wairy 5 Minutes and The Raven,1100463874678116352,
2022-11-27T21:19:09.000Z,en,['1596976948290662400'],1596976948290662400,"RT @DaveWardGS: I NEED EVERY FOLLOWER TO RT THIS

Your local postie is facing the most important week ever. 

They are facing intimidation,…",1100463874678116352,
2022-11-27T20:19:56.000Z,en,['1596962045907283969'],1596962045907283969,"What a cunt of a country Qatar is …but Israel’s all right, isn’t it?…nothing said #FreePalestine 🇵🇸",1100463874678116352,
2022-11-27T20:15:44.000Z,en,['1596960988737458178'],1596960988737458178,@Tobysdad41 Well done mate 👍👏👏,1100463874678116352,
2022-11-27T20:15:00.000Z,en,['1596960806356234240'],1596960806356234240,"@Craig67G Good player but when he goes, wouldn’t bother me",1100463874678116352,
2022-11-27T20:11:45.000Z,en,['1596959984708857857'],1596959984708857857,"RT @heraldscotland: Alba Party to hold conference to plot 'way forward' for independence cause

https://t.co/3cTNArbYnU",1100463874678116352,
2022-11-27T20:10:03.000Z,en,['1596959560291749888'],1596959560291749888,RT @billykayscot: Archie Macpherson reminiscing on Radio Scotland &amp; feeling sorry for Ally MacLeod after Argentina. I wonder if he feels so…,1100463874678116352,
2022-11-27T20:09:19.000Z,en,['1596959372370128896'],1596959372370128896,@PoliGraham Fuck me!!,1100463874678116352,
2022-11-27T20:08:53.000Z,en,['1596959263770845184'],1596959263770845184,"RT @BeckettUnite: • NHS Hospital Canteen: ‘Single Tuna sarnie’ costing £3.00 for nurses, paid for out of their own wage

• Houses of Parlia…",1100463874678116352,
2022-11-27T20:08:39.000Z,en,['1596959207684984832'],1596959207684984832,RT @hannahgib81: I despise the Tories and everything they stand for. RT if you agree,1100463874678116352,
2022-11-27T20:08:20.000Z,en,['1596959127364079619'],1596959127364079619,"RT @IrishUnity: Do you support? 

Irish Unity 🇮🇪
Scottish Independence 🏴󠁧󠁢󠁳󠁣󠁴󠁿
Independent Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿

yes            yes         yes

👇…",1100463874678116352,
2022-11-26T22:14:51.000Z,en,['1596628575763013633'],1596628575763013633,@Gordaidh We will never gain independence through a referendum…all Holyrood SNP MPs should resign now and force a Scottish Election #ScottishIndependence,1100463874678116352,
2022-11-26T20:50:46.000Z,en,['1596607415826649088'],1596607415826649088,RT @SSalyers2: Salvo and Liberation members please keep an eye on your ‘inboxes’ tomorrow.Time to get justice for Scotland,1100463874678116352,
2022-11-26T20:47:17.000Z,en,['1596606538789146624'],1596606538789146624,Standard of fitba in #Wordcup2022 is crap,1100463874678116352,{'place_id': '62a2a7f86cd9a5b4'}
2022-11-26T11:50:41.000Z,en,['1596471499812229122'],1596471499812229122,Proclaimers tickets went last night,1100463874678116352,
2022-11-26T11:47:37.000Z,en,['1596470727930220544'],1596470727930220544,@PeteWishart @kamanja_mercy That’ll no be a waste of time,1100463874678116352,
2022-11-26T09:13:34.000Z,en,['1596431959399739393'],1596431959399739393,RT @learig331: This seems to be annoying the Britnats. Please do retweet it. https://t.co/aXDdy3I0sx,1100463874678116352,
2022-11-26T07:32:26.000Z,en,['1596406508614430720'],1596406508614430720,RT @citizentommy: Russian Ban From World Football And Sporting Events While Israel Is Permitted To Compete Exposes Rank Hypocrisy https://t…,1100463874678116352,
2022-11-25T20:16:17.000Z,en,['1596236351418273792'],1596236351418273792,"RT @LaurenLloris: It's #FollowBackFriday &amp; we need your help!!!

Us posties are facing HUGE attacks by our employer on our pay, terms &amp; con…",1100463874678116352,
2022-11-25T13:45:49.000Z,en,['1596138085632327683'],1596138085632327683,@NotTimorous It was between him and Annie Wells,1100463874678116352,
2022-11-25T08:10:40.000Z,en,['1596053742943866881'],1596053742943866881,I’ve got 2 tickets for The Proclaimers in Dundee tomorrow Saturday if anybody wants them £40 the pair…,1100463874678116352,
2022-11-24T19:48:03.000Z,en,['1595866859127160837'],1595866859127160837,RT @Scotpol1314: I would like to see every Scottish MP leave WM today and refuse to return until it recognises the democratic will of the S…,1100463874678116352,
2022-11-24T13:39:48.000Z,en,['1595774186664128512'],1595774186664128512,"RT @DoubleDownNews: Mick Lynch Dismantles the Media, Government and Keir Starmer @RMTunion https://t.co/TiGpQFHyEg",1100463874678116352,
2022-11-24T13:31:03.000Z,en,['1595771985119920128'],1595771985119920128,RT @msm_monitor: Should the SNP &amp; Greens step down from government at Holyrood and force a Scottish election where both stand on the single…,1100463874678116352,
2022-11-24T06:58:25.000Z,en,['1595673173932101633'],1595673173932101633,RT @AUOBNOW: Retweet - if you agree that the Scottish Govt should immediately trigger a Scottish Parliamentary election and this to be made…,1100463874678116352,
2022-11-23T16:19:26.000Z,en,['1595451970671738881'],1595451970671738881,The fact that England is the only country in the so called union that doesn’t have a devolved parliament tells you all you need to know…#ScottishRevolution,1100463874678116352,{'place_id': '62a2a7f86cd9a5b4'}
2022-11-23T13:20:02.000Z,en,['1595406824559284225'],1595406824559284225,"RT @AlbaParty: 💬 ""This must be the starting gun of a campaign that ups the ante on independence across #Scotland by asserting our right of…",1100463874678116352,
2022-11-23T11:10:40.000Z,en,['1595374267553792004'],1595374267553792004,RT @TommySheppard: The British Constitution has been exposed as deeply undemocratic. We now have a state based on a political union where o…,1100463874678116352,
