edit_history_tweet_ids,lang,created_at,author_id,id,text
['1596939455885357056'],en,2022-11-27T18:50:10.000Z,55222766,1596939455885357056,"@FeisalAlbakry  please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596939291816775682'],en,2022-11-27T18:49:31.000Z,55222766,1596939291816775682,"@majiwater  please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596928696379912192'],en,2022-11-27T18:07:25.000Z,55222766,1596928696379912192,"@CRERChicago  please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596596012340379648'],en,2022-11-26T20:05:27.000Z,55222766,1596596012340379648,"@R2_Logistics please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596595845725667334'],en,2022-11-26T20:04:47.000Z,55222766,1596595845725667334,"@genericparts please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596595450328788993'],en,2022-11-26T20:03:13.000Z,55222766,1596595450328788993,"@WSI_Logistics please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596595195373817858'],en,2022-11-26T20:02:12.000Z,55222766,1596595195373817858,"@WSI_ISMI please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596594814660751361'],en,2022-11-26T20:00:41.000Z,55222766,1596594814660751361,"@DSV_US please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596594534338727936'],en,2022-11-26T19:59:34.000Z,55222766,1596594534338727936,"@UPS please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596594379749089280'],en,2022-11-26T19:58:58.000Z,55222766,1596594379749089280,"@cevalogistics please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596594144952037376'],en,2022-11-26T19:58:02.000Z,55222766,1596594144952037376,"@Kuehne_Nagel please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596593980837437446'],en,2022-11-26T19:57:22.000Z,55222766,1596593980837437446,"@DBSchenkerUSA please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596593565639270400'],en,2022-11-26T19:55:43.000Z,55222766,1596593565639270400,"@PenskeLogistics please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596593304463986689'],en,2022-11-26T19:54:41.000Z,55222766,1596593304463986689,"@FedEx please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596593110204940288'],en,2022-11-26T19:53:55.000Z,55222766,1596593110204940288,"@GEODIS_Group please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596592963899068416'],en,2022-11-26T19:53:20.000Z,55222766,1596592963899068416,"@OneLineage please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596592796529754112'],en,2022-11-26T19:52:40.000Z,55222766,1596592796529754112,"@americold please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596592561463779329'],en,2022-11-26T19:51:44.000Z,55222766,1596592561463779329,"@GEODIS_Groupplease let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596592339681939457'],en,2022-11-26T19:50:51.000Z,55222766,1596592339681939457,"@NFIindustries please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596592189936631808'],en,2022-11-26T19:50:15.000Z,55222766,1596592189936631808,"@RyderSystemInc please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596591803079462912'],en,2022-11-26T19:48:43.000Z,55222766,1596591803079462912,"@ShipCentral please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596591747559489536'],en,2022-11-26T19:48:30.000Z,55222766,1596591747559489536,"@PacerETFs please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596591545150734336'],en,2022-11-26T19:47:42.000Z,55222766,1596591545150734336,"@TRG_Solutions please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596591333384540160'],en,2022-11-26T19:46:51.000Z,55222766,1596591333384540160,"@SAPIndustries please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596590464894996480'],en,2022-11-26T19:43:24.000Z,55222766,1596590464894996480,"@GXOLogistics please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596589345275666432'],en,2022-11-26T19:38:57.000Z,55222766,1596589345275666432,"@Invest4decades please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596589150429380608'],en,2022-11-26T19:38:11.000Z,55222766,1596589150429380608,"@Stephanie_Link please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596588814667231232'],en,2022-11-26T19:36:51.000Z,55222766,1596588814667231232,"@JeffAshcroft please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596588724741378048'],en,2022-11-26T19:36:29.000Z,55222766,1596588724741378048,"@SyriusRobotics please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596588376538357766'],en,2022-11-26T19:35:06.000Z,55222766,1596588376538357766,"@get_flowspace please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596588079912873984'],en,2022-11-26T19:33:56.000Z,55222766,1596588079912873984,"@newagepackaging please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596587859573723136'],en,2022-11-26T19:33:03.000Z,55222766,1596587859573723136,"@ans_commerce please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596586902035087360'],en,2022-11-26T19:29:15.000Z,55222766,1596586902035087360,"@stock_titan please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596586098192535554'],en,2022-11-26T19:26:03.000Z,55222766,1596586098192535554,"@Maersk please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596585665424244739'],en,2022-11-26T19:24:20.000Z,55222766,1596585665424244739,"@MACCFA_Freight please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596585241581613056'],en,2022-11-26T19:22:39.000Z,55222766,1596585241581613056,"@uwclogistics please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596585109213569024'],en,2022-11-26T19:22:07.000Z,55222766,1596585109213569024,"@BahriLogistics please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596584732778958849'],en,2022-11-26T19:20:38.000Z,55222766,1596584732778958849,"@inveready please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596584587941003265'],en,2022-11-26T19:20:03.000Z,55222766,1596584587941003265,"@enisa please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596584298555248641'],en,2022-11-26T19:18:54.000Z,55222766,1596584298555248641,"@ZALportBCN please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596583660634923008'],en,2022-11-26T19:16:22.000Z,55222766,1596583660634923008,"@FMLogistic please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596581723021758465'],en,2022-11-26T19:08:40.000Z,55222766,1596581723021758465,"@dsv_nederland please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596581346193084416'],en,2022-11-26T19:07:10.000Z,55222766,1596581346193084416,"@Bayad2014 please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596581049064050688'],en,2022-11-26T19:05:59.000Z,55222766,1596581049064050688,"@CGZhangPingLA please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596580213777141760'],en,2022-11-26T19:02:40.000Z,55222766,1596580213777141760,"@isomorphisms please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596579548476444678'],en,2022-11-26T19:00:02.000Z,55222766,1596579548476444678,"@KyivIndependent please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596577648884740096'],en,2022-11-26T18:52:29.000Z,55222766,1596577648884740096,"@Billie_Duan please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596577383255281665'],en,2022-11-26T18:51:25.000Z,55222766,1596577383255281665,"@SchroedsBiz please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596577200694001664'],en,2022-11-26T18:50:42.000Z,55222766,1596577200694001664,"@IndoSpaceInd please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596576435891621888'],en,2022-11-26T18:47:39.000Z,55222766,1596576435891621888,"@Creativ94565667 please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596576288403509248'],en,2022-11-26T18:47:04.000Z,55222766,1596576288403509248,"@Gorto_Logistics please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596575948480032768'],en,2022-11-26T18:45:43.000Z,55222766,1596575948480032768,"@ShipWithAlpine please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596575119425822720'],en,2022-11-26T18:42:26.000Z,55222766,1596575119425822720,"@joespeezy please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596574382385602561'],en,2022-11-26T18:39:30.000Z,55222766,1596574382385602561,"@ChadCarleton please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596571174477127680'],en,2022-11-26T18:26:45.000Z,55222766,1596571174477127680,"@TitanCapitalVC please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
['1596569568088305665'],en,2022-11-26T18:20:22.000Z,55222766,1596569568088305665,"@AceVectorGroup please let me know about Any &amp; All Inventories you have in Excess/Abandoned or Customers failure to Pay Storage/Transportation Costs that you would like to sell, regardless of the Inventory category. O'Shea has been in business 47 Years located in Kansas City."
