id,author_id,created_at,text,edit_history_tweet_ids,lang,geo
1596704930001481729,720365641216098307,2022-11-27T03:18:15.000Z,@RatioScientiae @patriottakes I'm McCain supporter n did not voted for that loser.,['1596704930001481729'],en,
1596704614245507073,720365641216098307,2022-11-27T03:17:00.000Z,"@patriottakes @AngelRe96386095 We voted that's why Kari Lake did not win. These was bs ties to Trump losing 2020 election. Still I don't Green is a man, a woman or in between?",['1596704614245507073'],en,
1596703819370373120,720365641216098307,2022-11-27T03:13:50.000Z,@OakmontAdvisors @Acyn Taking president Joe Biden words out of context is typical bs of Republican pundits. Either you did not listen or simply your full of shit.,['1596703819370373120'],en,
1596701167698194433,720365641216098307,2022-11-27T03:03:18.000Z,@Acyn Not a pretty word will come out. I don't blame him.,['1596701167698194433'],en,
1596656415375912960,720365641216098307,2022-11-27T00:05:28.000Z,"I remember when I was in Austria bar, I best up a man sexually harassing one of the guest. It boiled my blood everytime I see a man miss behave in front of a woman. I even lost male friends who beat up their wives. It's wrong to hurt a woman. https://t.co/LSVFUSB03v",['1596656415375912960'],en,{'place_id': '0de4c71dbfcd2c32'}
1596654683950444544,720365641216098307,2022-11-26T23:58:35.000Z,"Racist came in many form n life style. Regardless of color of skin, there is no excuse to be racist not generalized all race r the same. If you like to preserve your race, then you should move elsewhere. https://t.co/aXZ8mETWtC",['1596654683950444544'],en,{'place_id': '0de4c71dbfcd2c32'}
1596638378815942656,720365641216098307,2022-11-26T22:53:48.000Z,@AngelRe96386095 That America is a backward nation. Germany is more diverse nation than America. Because they r reminded everyday of their dark time in Germany history. American make up their own history whatever suits them.,['1596638378815942656'],en,
1596637406320414720,720365641216098307,2022-11-26T22:49:56.000Z,@KariLake @charliekirk11 Bye loser.,['1596637406320414720'],en,
1596637167140229121,720365641216098307,2022-11-26T22:48:59.000Z,It doesn't scare me because they are all surrounded. https://t.co/5iSZNGJYKZ,['1596637167140229121'],en,{'place_id': '0de4c71dbfcd2c32'}
1596635933897416704,720365641216098307,2022-11-26T22:44:05.000Z,@dougmastriano Your US soldier what was your crazy mind thinking wearing Confederate uniform? U betrayed your oath. Confederate killed thousand of US soldiers.,['1596635933897416704'],en,
1596634974475587585,720365641216098307,2022-11-26T22:40:16.000Z,@RonFilipkowski @AngelRe96386095 Loser https://t.co/FCZtDk1PLO,['1596634974475587585'],en,
1596633974259953665,720365641216098307,2022-11-26T22:36:18.000Z,@RonFilipkowski @AngelRe96386095 The election was over n that is why they didn't show.,['1596633974259953665'],en,
1596633614594101250,720365641216098307,2022-11-26T22:34:52.000Z,@MikeMongo One this day I'll smack this liar in his face. Stop lying man!!,['1596633614594101250'],en,{'place_id': '0de4c71dbfcd2c32'}
1596632904930848768,720365641216098307,2022-11-26T22:32:03.000Z,@RonFilipkowski @AngelRe96386095 Bye losers!!!,['1596632904930848768'],en,
1596632711585636352,720365641216098307,2022-11-26T22:31:17.000Z,Russia launched 70 missiles at Ukraine in large-scale attack https://t.co/EYQMBeIJY9 via @YouTube No matter how much war we fought n learn. Humanity fundamentally savage n greed. Why in the hell do Russia want more land? They already have 3rd of the planet for BS protection?,['1596632711585636352'],en,{'place_id': '0de4c71dbfcd2c32'}
1596630000786366464,720365641216098307,2022-11-26T22:20:30.000Z,NASA rover discovery reveals there may have been life on Mars https://t.co/IjbsLeqrho via @YouTube It's so obvious it may explain the connection of Mars n humans on earth. We don't have to look further to explain origin of mankind. The sun storms clean up Mars. Earth will be next,['1596630000786366464'],en,{'place_id': '0de4c71dbfcd2c32'}
1596580745912651776,720365641216098307,2022-11-26T19:04:47.000Z,"@RonFilipkowski In 1776, Marjorie Taylor Green not allowed to speak about politics. She like that era of men, because she's dumb.",['1596580745912651776'],en,
1596579982075363328,720365641216098307,2022-11-26T19:01:45.000Z,@Mikeswi00209234 @RBReich Republican twisted brain 🤪,['1596579982075363328'],en,
1596579710338617344,720365641216098307,2022-11-26T19:00:40.000Z,@LJlohman @dlbeach @RBReich Someone telling the right history.,['1596579710338617344'],en,
1596579365717876736,720365641216098307,2022-11-26T18:59:18.000Z,@dlbeach @RBReich Who told u that stupid remark? It's dumb remark.,['1596579365717876736'],en,
1596578781430714368,720365641216098307,2022-11-26T18:56:59.000Z,@RBReich @AngelRe96386095 My economic professor use to say we're the button feeder n the other said were the fish shit. That was as clear as gonna get our American fish shit life. Yet we keep fighting the same left over bread rich people drop from the table after their dog refuse to eat it.🤢,['1596578781430714368'],en,
1596577522317086726,720365641216098307,2022-11-26T18:51:58.000Z,"@RBReich @AngelRe96386095 I always listen to professors of any education n, especially economics.",['1596577522317086726'],en,
1596576944031531009,720365641216098307,2022-11-26T18:49:41.000Z,"@AngelRe96386095 It's time to hand over the presidency to a woman whether Republican or Democrats. Men cannot balance natl budget, either they can't count or don't know Arithmetic. Perhaps men don't know how to use Quicken accounting software. I'll make an exception on Green., she's not a woman😂",['1596576944031531009'],en,
